"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","age","attitude","points","gender","deep","surf","stra"
"1",3,1,2,1,1,1,4,2,4,4,2,4,4,3,3,2,3,3,3,4,3,2,3,2,4,2,3,3,2,2,4,4,4,4,3,4,4,3,2,4,3,4,3,2,3,4,3,4,4,5,4,2,4,3,4,4,53,3.7,25,"F",3.58333333333333,2.58333333333333,3.375
"2",2,2,2,2,1,1,4,2,4,4,4,2,3,4,4,1,4,1,3,2,3,4,4,2,3,1,2,2,3,4,2,4,2,2,3,3,4,5,4,4,4,5,5,3,2,4,4,3,3,4,3,2,3,3,2,4,55,3.1,12,"M",2.91666666666667,3.16666666666667,2.75
"3",4,1,1,1,1,1,3,1,4,4,2,3,4,1,3,1,4,4,2,4,2,3,3,1,4,3,2,4,3,3,4,4,3,5,2,4,3,5,3,5,4,4,3,4,4,2,1,4,4,1,4,1,3,1,1,5,49,2.5,24,"F",3.5,2.25,3.625
"4",4,2,3,2,1,1,3,3,4,4,3,4,4,2,3,1,3,3,2,4,3,2,3,1,3,3,3,3,3,2,3,2,3,3,3,4,4,3,3,4,4,4,3,4,4,3,2,4,5,2,5,1,5,4,2,5,53,3.5,10,"M",3.5,2.25,3.125
"5",3,2,2,1,2,1,4,2,5,3,4,4,4,3,4,2,4,2,3,4,3,3,4,1,4,3,2,3,3,4,4,3,3,5,3,3,4,4,2,4,4,3,3,3,4,4,3,4,4,4,4,2,5,5,3,3,49,3.7,22,"M",3.66666666666667,2.83333333333333,3.625
"6",4,2,1,1,1,1,4,3,5,4,3,5,5,4,4,1,5,3,1,5,4,2,3,2,4,3,4,5,4,2,4,2,5,4,2,5,5,3,3,5,4,4,3,4,5,4,3,5,4,4,4,3,4,3,3,5,38,3.8,21,"F",4.75,2.41666666666667,3.625
"7",4,1,2,2,1,1,5,2,4,2,2,3,4,4,2,1,5,2,1,5,2,3,4,1,4,1,1,4,3,2,1,1,4,1,1,4,4,4,4,5,4,4,4,5,5,3,2,4,4,5,5,1,4,4,2,4,50,3.5,21,"M",3.83333333333333,1.91666666666667,2.25
"8",3,1,2,1,1,1,4,2,4,5,4,3,4,2,4,2,3,4,2,4,2,3,3,2,4,4,3,2,2,4,4,4,4,4,2,3,4,4,2,4,4,5,3,3,3,3,2,4,4,3,4,1,4,1,1,5,37,2.9,31,"F",3.25,2.83333333333333,4
"9",2,1,2,1,1,1,4,1,5,5,2,4,5,4,4,1,4,4,1,4,3,4,4,1,5,4,2,4,4,2,4,4,5,5,1,4,5,3,3,5,4,5,3,3,5,5,4,2,4,5,4,4,5,4,4,2,37,3.8,24,"M",4.33333333333333,2.16666666666667,4.25
"10",3,2,1,1,1,2,4,2,4,4,4,4,4,2,4,2,4,4,2,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,2,4,4,4,2,4,4,5,4,4,4,4,1,4,4,2,2,1,1,1,1,4,42,2.1,26,"F",4,3,3.5
"11",2,2,2,2,2,2,4,2,4,4,4,4,4,2,4,2,4,4,3,4,3,3,3,2,3,3,2,3,4,4,3,2,3,4,2,3,4,4,3,3,4,4,4,3,3,3,3,4,5,4,4,4,4,4,3,4,37,3.9,31,"M",3.58333333333333,2.66666666666667,3.625
"12",5,1,2,1,1,1,5,1,4,5,3,4,4,1,5,2,4,4,1,4,4,4,5,1,3,4,2,3,3,4,5,4,5,5,1,3,5,5,3,4,5,3,5,3,4,3,3,4,4,5,4,2,3,5,4,4,34,3.8,31,"F",3.83333333333333,2.41666666666667,4.75
"13",4,1,3,1,1,2,5,2,5,4,2,4,5,1,4,2,5,4,2,5,4,1,3,2,4,3,2,4,4,2,4,4,4,2,3,3,4,4,3,5,5,3,4,4,4,3,2,4,3,1,4,1,2,2,1,4,34,2.4,23,"F",4.25,2.25,3.625
"14",2,1,3,1,1,1,4,4,3,3,2,4,4,2,4,1,2,3,2,4,2,3,4,2,4,2,4,4,2,4,4,4,2,4,3,5,4,2,2,5,2,3,3,4,5,4,2,5,5,2,4,1,3,2,1,5,34,3,25,"F",3.33333333333333,2.75,3.5
"15",4,1,1,1,1,1,3,1,5,2,2,4,4,4,2,1,4,1,2,4,4,2,3,2,5,1,2,5,2,2,1,4,3,1,2,5,5,4,3,1,3,4,2,4,2,4,2,2,4,1,2,5,2,3,1,4,35,2.6,21,"M",4.16666666666667,2.33333333333333,1.75
"16",1,1,1,1,1,1,5,2,4,4,4,3,3,3,2,2,3,3,4,3,3,2,3,1,3,2,2,3,3,2,3,3,3,3,3,3,3,4,5,3,4,5,5,4,3,5,2,2,4,1,4,2,3,1,1,5,46,2.5,0,"F",3.08333333333333,2.66666666666667,3.125
"17",4,2,3,2,1,1,3,2,4,5,2,4,3,2,5,2,4,3,3,4,4,3,2,1,3,4,1,4,4,3,5,4,4,4,2,2,4,3,3,4,4,2,3,2,4,3,4,4,4,5,4,2,4,5,5,4,33,4.1,31,"F",3.66666666666667,2.33333333333333,3.875
"18",3,1,1,1,1,1,3,2,5,2,3,4,5,4,1,3,4,1,2,5,3,4,1,3,3,1,1,5,5,3,1,5,2,1,2,4,4,3,3,5,3,3,4,3,5,3,2,4,3,4,3,1,3,1,1,4,32,2.6,20,"F",4.08333333333333,2.91666666666667,1.375
"19",3,2,2,1,1,1,4,2,5,4,2,4,4,2,4,2,4,2,3,4,4,3,3,3,4,3,1,2,1,3,3,4,4,3,3,2,4,2,2,4,4,3,2,2,3,4,2,3,4,2,3,2,3,3,2,2,44,2.6,22,"F",3.5,2.5,3.25
"20",2,1,1,1,1,1,4,3,4,4,4,3,4,4,2,4,4,3,4,4,4,4,3,1,4,2,4,4,5,4,4,5,4,2,4,4,5,4,2,5,4,4,4,4,3,4,1,2,2,2,2,1,2,1,1,3,29,1.7,9,"M",4.08333333333333,3.75,3
"21",3,1,2,1,1,1,4,3,5,5,2,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,2,4,4,3,4,4,4,3,4,4,2,4,4,5,4,4,4,4,5,3,2,4,4,2,4,1,4,1,1,4,30,2.7,24,"F",4,2.75,3.75
"22",4,4,4,4,4,4,3,2,4,3,2,4,4,4,3,2,4,2,1,4,3,2,3,1,4,2,1,4,4,3,3,4,4,2,2,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,3,4,5,3,4,27,3.9,28,"M",3.91666666666667,2.33333333333333,2.625
"23",3,2,2,2,1,2,4,2,4,2,3,4,4,4,2,1,4,3,2,4,4,3,2,1,4,2,4,4,4,2,2,2,4,2,2,4,4,3,3,5,4,3,2,4,3,3,3,4,4,3,4,2,3,4,3,4,29,3.4,30,"M",4,2.41666666666667,2.375
"24",4,1,2,1,1,1,5,4,5,5,1,3,4,3,4,2,5,3,2,5,4,3,2,3,5,4,3,4,2,3,2,5,4,4,3,3,4,4,2,5,3,4,5,3,5,3,2,4,4,2,3,1,3,2,2,4,31,2.7,24,"F",4,3,3.625
"25",3,2,2,1,1,1,4,4,5,3,2,3,4,2,2,1,5,4,2,4,2,2,5,1,4,1,4,5,3,1,1,4,2,2,2,3,4,4,5,5,5,3,5,2,3,4,3,2,4,2,3,1,3,1,1,3,37,2.3,9,"F",3.66666666666667,2.41666666666667,2.75
"26",2,2,1,1,1,1,2,2,5,2,2,4,4,4,4,1,4,1,5,4,2,4,2,1,4,1,2,2,4,2,1,5,3,1,2,4,4,4,1,4,2,5,4,2,4,2,2,5,5,5,5,2,4,2,2,5,26,3.7,26,"F",3.66666666666667,2.83333333333333,1.75
"27",3,1,2,1,1,1,3,4,5,3,3,5,5,2,4,2,5,3,3,5,2,5,4,2,5,3,1,3,5,5,3,3,5,3,3,3,5,5,3,5,5,3,5,2,3,4,4,5,5,5,5,2,4,5,4,5,26,4.4,32,"F",4.41666666666667,3.16666666666667,3.25
"28",2,2,1,1,1,1,5,4,5,4,4,4,4,1,4,4,4,4,3,4,2,4,3,1,4,4,2,4,4,4,5,4,4,3,1,4,4,4,4,5,5,4,4,4,5,4,4,5,5,4,5,2,4,3,4,5,30,4.1,32,"M",3.91666666666667,3,4
"29",4,2,3,1,2,2,4,4,5,3,1,3,3,2,1,1,4,3,1,4,4,2,2,1,4,1,1,4,3,2,1,5,3,2,3,5,4,3,3,4,3,3,3,3,4,2,1,4,3,3,3,1,3,2,1,3,37,2.4,0,"F",3.83333333333333,2.16666666666667,2.125
"30",3,1,2,1,1,1,4,1,5,4,2,4,4,2,4,2,3,2,2,4,3,1,2,1,3,5,3,3,3,2,4,2,4,4,2,4,5,4,4,5,4,3,4,3,3,4,4,4,3,5,4,4,2,1,5,5,33,3.7,33,"F",3.75,2,3.625
"31",2,2,3,2,1,3,3,4,4,3,4,4,3,1,3,3,3,2,4,4,3,4,4,3,4,2,4,3,2,3,4,5,2,2,3,3,4,4,4,4,3,4,5,1,2,5,1,3,3,4,3,1,3,2,2,3,33,2.5,29,"F",3.25,3.5,2.875
"32",2,4,2,2,1,2,4,4,4,3,3,5,4,2,4,4,5,2,4,4,2,5,5,3,4,2,2,3,4,5,2,5,2,2,3,2,4,5,5,4,5,3,5,4,4,4,4,3,4,2,4,2,4,2,2,3,28,3,30,"M",3.58333333333333,3.75,3
"33",1,1,1,1,1,1,2,4,5,2,4,5,5,1,4,1,5,1,1,5,5,1,1,4,4,1,5,5,5,1,1,1,5,1,2,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,1,4,3,1,5,26,3.4,19,"M",4.91666666666667,2.5,1.625
"34",4,1,1,1,1,1,5,2,5,2,2,4,4,2,4,1,3,4,2,5,2,1,4,1,4,1,2,4,3,2,4,4,2,2,2,3,4,4,4,5,4,4,4,2,5,4,3,4,4,4,4,1,4,4,2,2,27,3.2,23,"F",3.58333333333333,2.08333333333333,3.25
"35",3,2,2,1,2,3,4,1,3,4,2,3,4,2,2,3,3,4,3,4,2,2,3,1,3,3,2,3,3,3,4,5,2,4,2,3,2,3,3,4,3,3,4,2,3,2,2,3,2,1,2,1,2,2,1,4,25,2,19,"F",2.91666666666667,2.41666666666667,3.5
"36",4,3,1,1,1,1,4,2,4,4,2,4,3,3,3,1,4,3,3,4,4,3,3,1,4,3,3,3,3,3,2,4,3,2,2,4,4,4,3,5,4,2,4,4,4,4,2,4,4,1,2,1,2,2,1,5,31,2.4,12,"F",3.66666666666667,2.58333333333333,3
"37",2,5,4,5,5,4,4,1,5,4,2,4,5,2,3,1,5,3,1,4,4,1,3,1,4,3,1,4,5,1,4,3,4,2,2,5,5,3,3,5,3,2,3,4,5,3,3,4,5,4,5,3,4,5,4,5,20,4.2,10,"M",4.5,1.58333333333333,3.25
"38",4,4,5,5,5,5,5,1,4,4,1,5,3,3,1,5,5,1,5,5,3,1,1,1,4,1,1,5,2,1,1,5,3,1,5,5,5,5,4,4,2,2,2,2,1,5,1,4,4,1,1,1,1,1,1,1,39,1.6,11,"F",4.08333333333333,2.83333333333333,1.875
"39",4,1,2,1,1,1,5,2,4,5,2,4,4,2,4,1,4,4,2,4,4,1,4,1,4,4,2,4,4,2,4,4,4,5,1,3,3,2,2,4,4,4,3,4,4,3,3,4,4,2,4,2,4,2,2,4,38,3.1,20,"M",3.83333333333333,1.83333333333333,4.375
"40",3,3,1,1,2,3,4,5,4,5,2,3,5,1,4,2,2,5,4,4,2,1,2,1,3,3,2,3,2,2,2,5,3,4,2,4,4,2,1,4,3,3,4,4,3,2,4,5,5,5,4,1,3,4,2,5,24,3.8,26,"M",3.25,2.41666666666667,3.625
"41",2,3,3,4,1,4,4,4,4,2,2,1,2,2,2,2,2,2,4,4,1,4,2,4,2,3,1,1,2,4,4,5,3,1,2,4,2,5,4,5,2,2,3,2,3,4,4,4,5,4,4,2,3,5,4,3,26,3.8,31,"M",2.33333333333333,3.25,2.5
"42",4,1,2,1,1,2,2,3,4,1,4,4,5,4,1,4,2,2,2,4,5,4,1,4,2,1,1,2,2,4,1,5,2,1,2,4,4,4,2,5,4,5,4,2,4,3,3,5,4,2,4,2,3,3,2,5,25,3.3,20,"M",3.33333333333333,3.41666666666667,1.25
"43",4,2,2,1,2,1,4,4,5,5,3,4,4,2,4,3,4,3,4,4,5,2,3,4,5,5,3,3,2,2,5,5,5,3,5,3,5,4,1,4,3,3,4,4,4,5,2,4,2,1,1,1,1,1,1,3,30,1.7,23,"F",4.08333333333333,3.41666666666667,4
"44",3,2,1,1,1,2,4,2,4,4,4,4,3,4,2,2,2,2,2,4,2,4,4,2,2,2,2,2,2,4,4,4,2,2,4,4,4,4,4,5,3,4,4,3,4,4,2,4,4,1,2,1,3,2,1,5,25,2.5,12,"F",2.91666666666667,3.16666666666667,3
"45",4,5,5,4,5,5,3,5,3,2,2,4,4,4,2,2,3,2,4,4,3,4,2,3,3,5,1,3,3,5,3,4,3,1,4,4,3,4,4,5,2,4,4,3,4,4,3,4,4,3,4,2,3,3,2,4,30,3.2,24,"M",3.33333333333333,3.5,2.5
"46",2,1,2,1,1,1,5,1,5,5,4,4,5,2,5,1,5,5,4,4,2,1,5,2,5,4,2,4,2,2,5,5,4,5,3,1,5,5,4,5,5,2,5,2,4,5,2,5,5,2,5,1,4,4,2,5,48,3.5,17,"F",3.83333333333333,2.66666666666667,4.875
"47",3,1,2,1,1,2,5,4,4,5,2,3,4,1,5,2,4,5,3,4,3,1,5,1,4,5,3,4,3,2,5,4,3,5,3,4,4,3,2,5,5,3,4,3,4,3,4,5,5,2,4,1,4,2,1,4,24,3.2,29,"F",3.66666666666667,2.41666666666667,5
"48",4,1,1,1,1,1,5,5,5,5,4,5,5,3,4,1,4,5,4,5,4,4,4,2,4,5,4,5,4,4,3,4,5,4,4,5,5,4,3,5,4,4,3,4,4,3,4,5,5,4,5,2,5,3,4,5,40,4.2,23,"F",4.66666666666667,3.58333333333333,4.375
"49",2,1,1,1,1,1,5,2,5,2,2,5,5,1,2,1,4,4,4,4,2,1,2,1,1,5,3,5,2,2,4,4,2,2,2,5,5,2,3,5,5,4,4,4,5,4,4,5,4,4,4,1,2,1,1,5,25,3.1,28,"M",3.75,2.08333333333333,3.25
"50",2,1,2,1,1,1,4,3,4,4,4,5,2,1,5,4,4,4,4,3,3,3,4,4,4,3,4,3,4,4,5,5,3,3,4,3,3,5,5,4,4,4,5,3,3,5,4,5,5,4,5,2,4,2,3,5,23,3.9,31,"F",3.41666666666667,3.75,4
"51",5,1,2,1,1,1,5,2,4,5,3,5,4,3,2,2,4,1,3,4,4,3,3,1,3,1,2,5,4,4,4,5,4,4,3,5,4,4,3,5,5,3,2,3,3,4,1,2,1,1,1,1,1,5,5,1,25,1.9,23,"F",4.16666666666667,2.91666666666667,3.125
"52",4,2,3,2,1,1,2,1,3,2,2,2,1,4,2,2,4,2,2,4,2,2,4,1,1,2,4,2,4,5,4,5,4,2,2,3,5,5,5,3,4,5,5,2,2,5,1,2,2,4,2,1,1,2,1,5,23,2.1,25,"F",2.91666666666667,2.91666666666667,2.5
"53",2,1,1,1,1,1,3,5,5,5,2,3,4,3,2,1,4,2,1,4,5,2,3,1,5,5,4,5,2,1,4,2,3,1,3,5,5,4,3,4,3,5,5,5,5,3,1,5,4,3,2,1,2,1,1,5,27,2.5,18,"M",4.16666666666667,2.41666666666667,3.125
"54",4,1,2,2,3,2,4,4,4,2,2,4,3,2,4,1,3,2,4,4,4,2,4,3,4,4,1,3,3,4,4,5,3,2,3,4,4,5,1,5,4,2,3,3,3,3,2,4,4,4,4,1,3,3,3,4,25,3.2,19,"M",3.58333333333333,3,3.25
"55",4,1,1,1,1,2,4,2,3,2,4,2,4,4,2,1,3,2,4,4,4,5,4,1,3,1,4,1,2,4,1,5,3,1,3,3,2,4,1,4,4,2,4,1,3,4,3,2,2,5,2,3,2,5,4,4,23,3.2,22,"M",2.83333333333333,3.41666666666667,2.125
"56",3,2,2,1,1,1,4,4,5,2,2,4,4,2,4,1,4,1,2,4,4,2,4,2,5,2,3,4,2,4,4,5,3,1,3,4,5,5,4,5,4,5,5,3,5,4,1,4,3,4,4,1,1,1,2,5,23,2.6,25,"F",4,2.91666666666667,2.75
"57",3,2,1,1,2,2,3,4,4,2,2,3,4,4,1,3,4,3,2,4,3,4,4,2,2,1,3,2,2,4,3,5,3,2,2,2,2,4,2,4,4,4,3,3,4,4,2,3,2,3,3,1,3,2,2,2,23,2.3,21,"F",2.91666666666667,3.25,2.375
"58",4,1,2,1,1,1,4,4,4,4,2,2,5,2,4,2,2,2,4,5,1,2,4,5,4,1,2,5,2,2,4,5,2,2,4,2,2,5,4,5,4,1,5,4,4,4,4,5,5,4,5,1,4,3,2,5,45,3.8,9,"F",3,3.25,3.125
"59",3,1,4,2,1,1,5,1,5,5,2,4,4,1,3,1,5,4,3,5,4,4,3,1,4,4,2,4,3,4,5,4,3,3,1,3,5,4,1,5,5,3,4,3,4,3,4,4,2,3,2,1,2,2,4,4,22,2.8,28,"F",4.08333333333333,2.33333333333333,4
"60",2,1,2,1,1,1,5,2,4,2,4,3,5,2,4,1,3,5,3,4,2,5,3,1,4,4,2,1,2,5,4,5,2,5,4,1,4,5,5,5,4,5,5,2,3,5,2,2,2,5,3,2,2,5,5,5,23,3.3,25,"F",2.91666666666667,3.25,4
"61",4,2,3,3,1,3,2,2,4,1,1,4,3,4,2,1,3,4,3,4,4,3,2,1,2,1,1,4,2,3,5,4,3,1,3,5,4,4,3,5,3,4,4,4,5,2,4,5,5,5,5,4,5,5,5,5,21,4.8,29,"M",3.5,2.5,2.25
"62",3,1,1,1,1,1,4,2,5,3,1,5,5,1,3,1,3,3,2,4,4,2,3,1,3,3,1,5,3,2,4,3,5,3,1,5,5,4,1,4,3,3,4,2,3,2,4,3,4,5,4,3,4,4,5,4,21,4,33,"M",4.33333333333333,1.75,3.25
"63",3,3,2,2,1,1,4,2,5,3,2,4,4,3,4,1,4,4,1,5,4,3,3,2,4,4,2,5,4,3,4,2,3,3,2,4,5,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,21,4,33,"F",4.25,2.25,3.625
"64",3,1,1,1,1,1,4,1,5,2,2,2,4,4,5,1,4,4,1,5,2,2,4,1,2,3,2,3,4,2,5,4,3,2,1,5,2,4,2,4,4,2,4,2,5,2,5,5,5,4,5,4,5,5,4,5,21,4.7,25,"F",3.41666666666667,2.08333333333333,3.625
"65",2,1,1,1,1,2,4,4,5,2,2,2,2,2,2,2,4,2,2,2,2,4,4,2,4,1,1,4,2,4,4,5,4,1,2,2,4,4,2,5,5,4,5,2,5,5,2,3,2,4,2,1,2,2,2,3,26,2.3,18,"F",3.08333333333333,2.83333333333333,2.5
"66",1,2,1,1,1,1,4,2,5,2,4,5,5,2,2,1,5,1,4,4,4,3,2,1,4,2,2,4,5,2,1,4,4,1,4,5,5,5,2,5,3,2,5,5,5,2,2,5,5,2,4,1,4,2,1,5,25,3.1,22,"F",4.58333333333333,2.83333333333333,1.875
"67",4,2,2,1,2,1,2,2,4,1,2,3,4,2,1,1,2,2,2,4,4,2,2,2,4,2,4,4,1,2,4,4,2,2,2,5,4,4,2,4,4,2,4,4,4,4,2,4,4,2,2,1,2,4,2,4,26,2.7,17,"F",3.41666666666667,2.41666666666667,2
"68",4,1,2,2,2,2,3,1,4,2,2,2,4,4,3,2,4,1,2,3,3,2,2,1,4,1,1,4,3,2,2,5,3,1,1,3,4,4,3,4,3,3,4,3,5,4,3,4,4,5,4,5,3,5,4,4,21,4.1,25,"M",3.41666666666667,2.25,1.875
"69",5,5,5,5,5,5,5,1,4,4,2,4,4,2,2,2,4,2,2,4,4,4,4,2,4,1,1,4,2,4,2,5,2,1,1,2,4,2,4,5,5,5,5,4,4,5,2,5,5,2,5,1,5,2,2,5,22,3.4,0,"F",3.5,2.33333333333333,2.625
"70",3,2,2,1,1,1,4,2,5,4,4,4,2,2,4,1,4,5,4,4,3,2,4,1,4,3,4,3,2,4,4,3,2,4,3,4,4,4,1,5,4,1,4,4,4,4,2,4,5,3,5,1,4,3,3,4,23,3.4,28,"F",3.41666666666667,2.83333333333333,4
"71",3,2,1,1,1,2,4,1,4,2,2,4,4,2,3,1,3,4,2,4,3,2,2,1,5,2,3,3,2,2,4,4,4,2,3,3,4,4,3,5,4,3,5,2,4,2,3,4,2,1,3,1,2,3,2,4,22,2.5,22,"F",3.58333333333333,2.25,2.875
"72",1,2,2,1,1,1,1,1,1,4,2,1,2,2,5,3,2,5,1,2,2,3,3,1,1,4,4,2,2,2,5,1,1,4,1,2,1,1,1,1,3,2,2,4,3,1,2,1,1,1,1,5,2,5,2,1,22,2.1,26,"F",1.58333333333333,1.83333333333333,3.875
"73",2,1,1,1,1,1,2,4,5,2,2,3,4,4,2,2,4,4,3,4,2,3,4,1,3,1,2,3,2,4,4,4,2,1,2,4,4,4,3,1,2,3,1,3,1,3,1,1,3,1,2,1,1,1,1,2,22,1.4,11,"F",3.33333333333333,2.91666666666667,2.5
"74",1,2,3,2,1,1,4,4,5,2,2,4,5,2,2,3,5,2,2,5,4,2,3,3,5,2,4,4,4,2,5,5,3,2,3,4,4,3,2,4,5,2,2,1,5,4,2,4,3,2,1,1,2,1,1,2,23,1.9,29,"F",4.33333333333333,2.91666666666667,2.75
"75",2,1,2,1,1,2,5,1,4,4,4,4,5,2,4,2,4,5,1,5,4,2,4,1,4,4,2,4,5,2,5,2,4,5,2,5,5,4,2,5,4,2,4,4,5,4,4,4,4,1,4,3,3,5,4,5,22,3.7,22,"M",4.41666666666667,2.08333333333333,4.5
"76",2,5,5,5,5,5,4,2,5,3,2,3,5,1,4,2,5,4,3,5,5,2,5,2,4,4,3,4,4,2,2,5,5,2,3,5,5,5,3,5,4,5,5,3,4,4,4,5,5,2,5,2,4,5,4,5,25,4.1,0,"M",4.58333333333333,2.66666666666667,3.5
"77",3,1,1,1,1,1,4,1,5,4,3,5,5,1,4,1,5,3,1,5,5,2,3,1,5,4,4,5,4,4,4,4,4,1,1,5,5,5,1,5,3,1,4,3,5,3,1,4,3,5,3,4,2,4,2,4,23,3.2,21,"M",4.83333333333333,2.33333333333333,3.375
"78",4,1,2,1,1,1,4,2,4,2,1,3,2,4,2,1,5,3,3,2,3,2,3,2,3,4,2,3,4,2,1,4,3,2,3,1,4,3,2,5,5,3,4,2,4,3,4,3,4,2,3,2,3,2,2,3,24,2.8,28,"M",3.08333333333333,2.41666666666667,2.625
"79",5,2,3,1,1,1,2,5,4,4,3,2,2,1,5,3,4,5,2,3,3,1,4,4,4,5,2,2,2,1,5,5,4,3,2,2,4,4,1,5,4,4,4,3,3,3,4,4,5,5,3,4,4,4,3,5,22,4.1,33,"F",3,2.75,4.125
"80",2,1,1,1,1,1,4,4,4,3,4,5,4,2,2,1,4,4,3,5,4,4,4,2,4,1,3,4,3,4,1,5,4,2,2,3,5,5,5,5,3,3,5,2,4,5,2,5,4,1,4,1,1,1,1,5,23,2.5,16,"F",4.08333333333333,3.25,2.625
"81",5,2,1,1,1,1,4,1,5,2,1,3,5,1,2,1,5,2,1,5,2,3,2,1,2,4,1,4,5,3,1,5,4,1,1,5,4,2,1,5,4,3,3,4,5,4,3,4,3,3,1,1,3,5,2,3,22,2.8,31,"M",4.08333333333333,1.75,2.25
"82",2,5,4,4,5,4,4,1,4,4,2,4,4,2,2,2,4,4,4,3,4,4,3,1,4,2,1,3,3,2,1,5,4,2,2,4,4,5,4,4,2,5,5,3,5,4,3,4,3,4,3,4,3,5,4,5,20,3.8,22,"M",3.75,2.58333333333333,2.75
"83",3,3,3,2,1,3,4,5,4,2,3,3,3,2,4,4,4,3,3,3,2,2,2,4,4,4,2,2,2,5,4,4,4,1,2,3,3,4,3,4,4,4,4,2,3,5,3,4,3,4,3,2,2,3,4,3,22,3.1,31,"M",3.08333333333333,3.33333333333333,3
"84",4,1,1,1,1,1,3,3,5,1,3,5,5,4,2,3,5,1,3,5,4,1,3,1,5,1,2,5,5,2,1,3,3,1,4,5,5,5,4,5,4,1,2,5,5,4,3,3,5,4,5,1,3,3,3,5,21,3.5,23,"M",4.75,2.83333333333333,1.625
"85",5,1,2,2,1,1,3,2,5,3,2,4,5,4,2,1,5,2,2,4,5,3,2,4,4,1,2,4,3,2,1,4,4,1,2,4,4,2,1,5,4,4,2,5,5,3,3,4,5,3,4,3,4,2,3,5,22,3.6,26,"F",4.25,2.5,1.875
"86",3,1,1,2,1,1,5,2,5,3,3,5,5,2,4,1,4,3,3,4,3,2,3,1,5,3,3,3,3,2,3,4,3,3,2,5,5,4,4,5,3,3,4,2,5,3,2,3,3,3,2,2,2,4,3,2,23,2.6,12,"F",4.16666666666667,2.41666666666667,3.375
"87",3,1,3,1,1,1,5,3,5,5,2,3,5,3,5,3,4,3,1,5,3,3,5,1,5,2,2,5,4,2,2,3,4,3,2,5,5,4,2,5,4,3,3,3,5,5,3,5,5,5,5,3,4,4,5,5,21,4.4,26,"M",4.41666666666667,2.41666666666667,3.75
"88",4,2,2,1,1,2,2,4,4,2,2,5,4,1,2,2,4,2,2,2,4,1,2,4,4,2,1,4,4,4,4,5,4,1,1,2,5,4,2,5,2,2,1,4,4,4,4,4,5,5,5,4,5,4,5,4,22,4.5,31,"M",3.83333333333333,2.58333333333333,2.125
"89",3,2,2,1,1,1,4,2,5,2,3,2,4,2,3,4,4,2,2,4,3,2,4,4,4,1,2,2,2,4,1,5,4,2,1,2,4,5,4,4,4,5,4,3,3,2,2,4,2,4,2,3,2,5,4,4,29,3.2,19,"M",3.33333333333333,3,2.375
"90",2,1,2,1,1,1,3,2,4,2,3,3,3,2,2,2,3,1,1,4,4,3,3,1,4,1,1,3,3,3,1,5,3,1,1,3,4,4,4,5,3,5,4,3,5,5,1,4,3,1,3,1,1,1,1,4,26,2,0,"F",3.41666666666667,2.33333333333333,1.75
