"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","age","attitude","points","gender","deep","surf","stra"
"91",3,2,2,1,1,2,3,2,4,3,3,2,3,2,4,1,4,2,2,4,2,1,4,2,4,2,2,2,2,2,1,1,4,3,2,4,3,4,2,5,3,4,5,3,4,4,4,4,5,5,5,2,4,2,3,5,29,3.9,30,"F",3.16666666666667,2,2.75
"92",2,2,1,1,1,1,5,1,4,2,4,2,4,2,4,4,4,2,4,4,2,2,3,1,4,4,5,2,4,4,4,5,2,1,4,4,2,5,5,2,4,4,5,2,2,5,2,4,4,2,4,1,2,1,1,4,21,2.5,12,"F",3.16666666666667,3.41666666666667,3.125
"93",5,3,5,5,5,5,4,2,5,4,5,4,4,2,3,2,4,5,2,4,4,3,2,1,3,4,3,3,4,3,4,5,2,2,2,4,5,4,4,4,3,3,4,2,4,3,3,4,4,2,4,2,3,5,2,4,28,3.3,17,"M",3.83333333333333,2.83333333333333,3.5
"94",2,1,2,3,2,1,2,4,5,4,4,3,5,2,1,5,5,1,2,4,5,2,2,2,4,1,4,4,5,4,1,5,4,1,3,2,4,4,3,5,4,4,2,3,4,3,2,5,5,3,4,1,5,2,3,5,23,3.5,0,"M",4.16666666666667,3.41666666666667,1.625
"95",2,4,3,5,5,5,4,1,5,3,2,5,4,2,5,2,5,2,1,5,4,2,3,1,4,1,3,3,3,3,1,5,4,2,1,4,5,4,2,5,4,4,5,4,4,5,2,4,5,3,4,1,3,5,1,5,21,3.3,18,"F",4.25,2.25,2.625
"96",3,2,2,1,1,1,4,2,5,4,4,4,4,2,2,2,4,4,3,5,4,4,4,1,4,2,2,3,2,2,4,4,3,3,2,4,4,5,3,5,4,4,5,2,4,5,2,4,4,3,2,1,4,2,4,4,30,3,19,"F",3.83333333333333,2.75,3.375
"97",2,2,1,1,1,1,4,4,5,2,3,2,4,3,1,4,5,2,4,4,2,4,3,2,5,1,5,4,2,4,4,5,4,1,4,2,5,5,3,5,5,4,5,4,5,3,1,5,4,4,4,1,3,1,2,4,21,2.9,21,"F",3.66666666666667,3.91666666666667,2.25
"98",3,1,2,1,1,1,4,3,5,3,3,4,4,2,2,1,4,3,2,4,4,2,3,2,2,4,3,2,4,2,3,4,4,2,2,5,4,2,2,4,4,3,4,4,4,3,3,3,4,4,3,1,4,3,4,4,23,3.3,24,"M",3.83333333333333,2.33333333333333,3
"99",3,5,5,5,5,5,4,1,4,3,4,2,4,1,4,2,4,4,1,4,4,3,4,1,4,4,4,3,4,4,5,4,4,4,3,4,5,5,4,4,3,4,4,2,4,4,3,4,4,4,4,1,3,2,4,4,21,3.3,28,"F",3.83333333333333,2.75,4
"100",3,4,4,4,5,4,4,3,4,2,4,4,5,1,4,2,4,4,4,5,2,2,4,1,2,4,3,4,4,2,4,4,4,2,2,4,4,5,4,4,4,2,4,2,2,4,3,4,3,4,4,2,3,4,3,5,21,3.5,17,"F",3.83333333333333,2.75,3.5
"101",3,1,1,1,1,1,2,2,4,2,3,4,3,3,2,2,3,4,4,3,3,2,3,3,3,2,2,3,4,2,4,4,4,2,3,5,5,5,2,4,3,3,4,3,3,4,3,5,5,3,4,2,4,3,2,5,20,3.6,18,"F",3.66666666666667,2.91666666666667,2.625
"102",3,2,2,1,1,1,4,4,5,4,3,3,4,2,4,1,5,2,3,4,4,2,4,1,5,2,1,2,4,5,2,4,5,1,2,4,5,4,1,5,4,4,5,1,5,3,2,5,5,4,5,4,4,5,4,4,21,4.2,0,"M",4.16666666666667,2.66666666666667,2.875
"103",1,1,2,1,1,1,4,2,5,2,2,4,4,2,2,1,4,2,2,4,4,1,2,1,4,2,2,5,4,2,4,4,4,2,2,5,5,4,2,4,4,3,5,2,5,4,2,4,4,5,4,2,3,5,4,4,22,3.7,17,"M",4.33333333333333,2.08333333333333,2.5
"104",2,5,5,5,5,5,4,4,4,3,4,5,5,4,3,2,5,4,3,5,4,4,5,1,4,2,4,4,2,3,3,4,5,2,5,5,5,5,5,5,5,5,5,4,5,5,3,5,4,1,4,1,3,1,2,4,35,2.8,0,"F",4.41666666666667,3.58333333333333,3.25
"105",4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,2,4,5,3,4,4,5,5,5,4,3,4,3,4,4,3,4,4,5,5,5,5,5,1,5,1,5,5,21,4.2,23,"M",3.75,3.66666666666667,3.75
"106",4,3,2,2,1,2,4,4,3,2,4,1,2,4,2,3,4,1,3,4,2,3,2,4,2,1,2,3,2,4,3,4,2,1,2,4,3,4,3,5,3,4,4,4,4,3,1,3,2,4,1,1,2,4,2,2,22,2.2,0,"M",2.66666666666667,3.41666666666667,2
"107",3,1,1,1,1,1,4,4,5,3,2,3,4,1,4,2,5,4,1,5,3,2,3,4,4,4,3,4,4,4,5,4,4,2,2,4,5,5,3,5,5,4,5,3,5,3,3,4,3,4,3,2,3,2,4,4,21,3.2,26,"M",4.16666666666667,2.83333333333333,3.625
"108",2,1,1,1,1,1,5,5,5,4,4,4,4,1,5,4,5,5,3,4,3,3,5,3,5,4,2,3,4,4,1,5,5,4,2,3,3,5,1,1,1,1,1,4,1,1,5,5,5,5,5,5,5,5,5,5,20,5,28,"F",4,3.41666666666667,4.125
"109",3,1,2,1,1,1,4,1,5,4,2,5,5,1,5,1,4,4,1,4,4,2,4,1,4,5,1,3,4,2,5,2,4,4,1,2,4,4,2,5,4,4,4,3,4,2,4,5,5,5,5,4,4,5,5,5,22,4.7,31,"M",4,1.58333333333333,4.375
"110",3,2,3,1,1,1,3,5,5,4,5,4,5,2,2,2,5,3,3,4,4,2,3,4,5,2,2,3,5,2,2,3,5,2,2,5,5,3,1,5,4,5,4,3,4,3,4,4,4,5,4,2,3,2,4,4,20,3.6,27,"F",4.58333333333333,2.91666666666667,2.625
"111",3,1,2,1,1,1,4,2,4,4,3,2,4,2,5,2,4,3,3,4,2,4,4,2,4,3,2,2,4,4,5,5,5,4,2,4,5,5,3,5,5,5,3,3,4,4,4,5,5,5,5,1,3,1,2,5,20,3.6,25,"F",3.66666666666667,3,4
"112",4,3,4,3,4,3,4,5,4,3,2,3,4,2,3,1,3,1,5,5,2,2,2,3,4,3,1,4,2,2,4,5,3,2,4,5,5,3,4,4,3,4,4,2,3,5,2,5,4,3,2,2,3,2,3,3,24,2.9,23,"M",3.66666666666667,2.91666666666667,2.75
"113",1,1,1,1,1,1,4,2,5,5,1,3,5,2,4,4,4,2,3,5,4,2,3,2,4,1,3,2,3,2,2,5,4,1,2,4,3,4,2,5,5,4,5,2,4,4,2,5,4,5,4,2,3,2,4,4,20,3.5,21,"F",3.83333333333333,2.66666666666667,2.75
"114",4,3,2,2,1,2,2,3,4,2,2,3,2,4,1,2,3,1,4,3,4,4,2,4,2,1,1,2,2,3,1,4,2,1,1,2,2,4,2,4,3,3,3,3,4,4,4,4,5,4,4,4,5,4,3,3,19,4,27,"F",2.58333333333333,3,1.375
"115",3,2,2,1,1,1,4,3,4,2,4,3,4,3,2,2,4,2,2,3,2,2,3,2,4,2,2,4,3,4,1,3,4,2,2,3,4,4,3,5,4,3,3,4,4,3,2,4,4,5,3,2,3,3,4,5,21,3.5,28,"F",3.5,2.75,2.25
"116",2,1,1,2,1,1,3,3,3,4,4,2,2,2,4,3,4,4,2,4,2,3,4,4,4,2,2,2,4,3,4,5,4,4,1,3,3,5,5,5,5,5,5,3,3,4,3,3,2,5,3,2,1,5,5,3,21,3.2,23,"F",3.08333333333333,3.08333333333333,3.625
"117",2,1,2,1,1,1,5,1,5,4,4,4,5,2,3,1,5,3,2,4,4,3,3,1,2,4,2,4,4,2,5,5,4,3,2,5,5,5,2,5,3,3,4,4,4,5,2,4,4,3,2,1,1,2,3,4,22,2.6,21,"F",4.25,2.5,3.75
"118",4,2,2,1,2,2,4,1,5,4,4,2,2,2,4,2,5,4,1,2,2,2,4,1,4,2,2,1,4,2,5,5,5,5,1,2,4,5,2,5,4,5,5,2,4,4,2,4,1,4,1,1,1,1,1,4,25,2,25,"F",3.16666666666667,2.33333333333333,4
"119",2,1,2,2,1,2,4,2,4,4,5,3,4,2,2,1,4,4,2,4,2,4,3,1,2,2,4,3,2,4,4,5,2,2,3,3,4,3,2,4,3,2,5,4,5,3,2,4,3,2,3,1,3,2,2,5,21,2.7,11,"F",3.08333333333333,3,3.125
"120",2,1,1,2,2,1,4,4,4,4,2,4,4,3,2,2,4,4,2,5,4,3,2,2,5,2,4,4,4,2,4,4,4,4,3,4,4,5,4,5,4,3,4,2,4,4,3,4,4,4,4,2,3,2,2,4,22,3.2,19,"F",4.16666666666667,3,3.25
"121",1,2,2,2,2,2,2,4,3,2,5,2,1,2,4,4,3,1,4,2,2,4,4,4,4,1,4,2,2,4,2,5,2,1,3,2,2,5,5,3,4,5,5,2,2,5,3,4,5,3,5,1,4,1,2,5,25,3.3,24,"F",2.25,4,2.125
"122",4,1,3,2,1,1,4,4,5,3,2,3,4,2,3,2,3,2,3,4,3,2,3,4,3,2,4,2,2,4,4,4,4,2,3,3,4,5,4,4,3,2,5,3,3,3,4,4,4,4,4,3,4,4,4,4,20,3.9,28,"F",3.33333333333333,3.25,2.875
"123",3,2,2,2,1,1,2,5,2,1,4,3,3,3,1,4,4,2,4,3,4,3,2,3,3,2,2,2,2,3,1,5,3,1,3,4,4,3,3,2,2,2,3,3,2,1,3,3,4,3,4,2,4,3,2,5,24,3.3,21,"M",3.08333333333333,3.5,1.5
"124",2,2,1,1,1,1,3,4,3,3,4,3,3,4,4,3,3,2,3,3,2,4,3,2,3,1,3,2,2,4,2,4,3,2,3,3,3,4,4,4,3,4,5,2,3,4,3,3,4,4,4,2,3,2,2,3,20,3,24,"F",2.75,3.5,2.5
"125",2,2,3,1,1,2,4,1,4,3,4,4,4,4,4,2,2,4,5,3,2,4,3,4,4,2,3,3,4,5,4,5,2,2,4,4,3,5,3,3,4,5,3,2,4,4,4,4,4,4,4,2,4,5,3,3,21,3.7,24,"M",3.25,3.83333333333333,3.25
"126",3,1,3,1,1,1,5,3,5,4,4,4,3,3,4,2,4,3,2,4,3,2,3,3,4,4,3,4,2,3,2,5,3,1,2,4,5,5,5,5,4,4,4,2,4,4,1,2,1,2,2,1,1,1,1,2,26,1.4,0,"F",3.75,3.08333333333333,3.25
"127",4,1,1,1,1,1,4,3,5,3,2,5,5,4,2,2,5,4,2,5,4,2,3,1,4,2,2,5,4,4,1,2,5,1,1,5,5,5,4,5,5,3,4,4,5,4,3,4,4,3,4,1,3,1,3,4,28,3,0,"M",4.75,2.5,2.5
"128",3,2,2,1,1,1,4,2,4,3,3,5,4,3,4,1,4,4,3,4,3,3,5,1,5,4,3,4,3,4,2,4,4,3,3,3,5,5,4,5,4,4,5,3,3,3,3,4,3,1,3,1,3,2,1,4,20,2.5,20,"F",4,2.91666666666667,3.625
"129",2,2,1,1,1,2,4,2,4,4,2,3,4,2,4,1,3,3,1,4,2,3,3,1,4,5,1,4,4,2,4,5,4,4,1,3,4,5,2,4,4,3,4,1,3,4,2,3,3,4,4,1,3,2,4,3,20,2.9,19,"F",3.58333333333333,2.16666666666667,3.875
"130",4,1,1,1,1,1,4,1,4,3,2,4,5,1,4,1,4,5,2,5,3,1,3,1,4,4,2,5,3,1,4,2,4,4,2,4,4,4,3,5,4,4,5,5,5,4,3,5,4,3,4,3,3,5,4,5,31,3.9,30,"M",4.08333333333333,1.66666666666667,3.875
"131",4,1,1,1,1,1,2,1,5,2,3,4,5,2,4,1,4,2,2,5,3,3,2,1,4,2,3,4,3,2,3,2,5,2,2,4,5,3,3,5,4,4,3,4,5,4,2,5,5,5,5,1,3,2,3,5,20,3.6,22,"F",4.25,2.08333333333333,2.375
"132",3,2,3,2,1,1,4,1,4,4,4,3,4,3,4,1,4,3,2,5,3,4,3,1,5,1,3,3,2,4,3,5,3,2,2,3,2,4,2,4,3,2,4,1,3,3,2,4,2,4,2,2,2,5,2,4,22,2.9,16,"F",3.41666666666667,2.83333333333333,3
"133",5,1,2,1,1,2,4,2,4,4,4,2,3,2,4,3,2,2,4,4,2,4,4,2,4,3,4,4,2,4,4,4,2,2,4,4,4,4,2,4,3,4,4,2,3,4,2,2,2,1,2,2,2,2,2,4,22,2.1,16,"F",3.08333333333333,3.41666666666667,3.375
"134",4,2,2,2,2,2,3,4,4,2,4,3,4,4,2,2,3,4,4,4,4,3,3,2,3,3,2,3,3,4,3,3,3,2,3,4,4,5,3,4,4,4,5,3,4,5,2,3,4,3,3,2,3,4,3,4,21,3.1,19,"M",3.5,3.33333333333333,2.75
"135",2,2,1,1,1,1,4,2,5,4,4,3,5,5,4,3,5,4,2,4,2,4,5,2,4,1,4,4,3,5,1,4,4,2,2,4,4,5,3,4,4,4,4,3,3,4,1,4,3,1,3,1,1,5,1,4,20,2.4,0,"F",3.91666666666667,3.5,3.125
"136",3,1,1,1,1,1,5,2,4,4,2,3,2,2,4,2,4,4,4,4,4,2,5,1,2,5,2,4,4,2,5,5,4,4,2,4,5,5,1,4,4,2,4,2,4,2,4,4,5,4,5,2,3,5,4,4,22,4,30,"M",3.66666666666667,2.58333333333333,4.5
"137",4,1,2,1,1,1,4,1,5,4,3,3,5,4,4,1,5,2,2,5,4,4,3,1,4,1,4,5,4,4,1,4,3,2,2,4,4,4,4,5,4,4,4,5,5,2,2,5,4,1,4,2,2,4,2,5,21,3.1,23,"F",4.25,2.83333333333333,2.625
"138",3,2,2,1,1,1,2,3,5,3,4,4,5,4,3,2,4,2,2,5,4,4,4,2,4,1,2,4,4,4,5,5,4,2,3,4,4,5,4,5,3,4,5,1,5,4,2,3,4,1,3,1,3,1,1,4,21,2.3,19,"F",4.25,3.33333333333333,2.75
"139",2,2,2,1,1,1,3,3,5,3,3,3,4,4,4,2,4,3,2,5,4,5,5,1,4,2,2,3,3,3,4,5,5,2,2,3,3,4,3,4,4,5,5,2,4,3,2,3,2,5,2,3,2,3,3,3,21,2.8,18,"F",3.83333333333333,3,3.25
"140",5,1,1,1,1,1,5,3,5,5,2,3,4,2,5,5,5,5,1,5,5,4,1,4,5,2,1,5,5,2,5,5,5,5,1,1,5,1,5,1,1,5,1,1,1,1,3,5,5,4,5,1,2,5,2,5,21,3.7,28,"F",4.41666666666667,2.58333333333333,4.125
"141",3,1,3,2,1,1,4,2,4,2,2,3,4,2,4,2,4,2,2,4,3,2,4,1,3,2,2,2,4,2,5,5,4,4,2,3,4,5,4,4,4,2,5,2,3,4,3,4,4,1,4,1,2,2,2,3,20,2.6,21,"F",3.5,2.41666666666667,3.375
"142",2,1,1,1,1,1,4,2,5,2,5,4,5,2,2,4,4,4,2,5,1,4,3,1,5,4,5,2,2,4,1,5,2,2,5,4,4,4,4,5,2,4,4,4,4,3,2,4,4,1,4,1,2,1,1,4,21,2.4,19,"F",3.58333333333333,3.58333333333333,2.75
"143",3,1,2,1,1,1,5,1,4,4,2,4,4,1,4,1,4,4,2,4,2,2,3,1,5,4,2,2,3,2,5,4,4,4,2,4,4,5,4,4,4,4,4,3,5,5,4,4,4,2,4,1,4,2,1,4,25,3,27,"F",3.66666666666667,2.08333333333333,4.125
"144",4,2,3,2,1,1,4,3,4,4,3,4,5,3,4,2,4,2,3,4,5,2,2,1,4,2,3,4,4,2,4,5,4,2,4,5,4,2,1,5,2,2,3,3,5,3,3,3,2,3,4,2,3,4,3,2,27,2.9,0,"F",4.25,2.75,3
"145",1,1,1,1,2,1,4,4,3,5,4,4,3,4,4,3,4,4,5,4,4,3,4,4,4,5,4,3,4,4,3,4,5,4,4,3,4,4,5,4,4,4,4,2,2,5,4,4,3,4,3,2,3,3,3,3,20,3.2,0,"F",3.75,3.91666666666667,4.125
"146",3,2,1,1,1,1,4,4,3,2,3,2,2,5,4,5,2,3,4,2,2,5,4,2,3,3,5,1,2,5,2,5,2,4,4,2,2,5,5,4,2,5,5,1,1,5,3,4,3,2,3,2,2,3,2,4,21,2.8,24,"M",2.08333333333333,4.33333333333333,3.25
"147",3,1,2,1,1,1,3,2,4,3,2,4,4,2,3,2,5,3,2,5,4,4,3,2,5,2,2,5,4,3,4,5,3,2,2,4,4,4,3,5,4,4,5,2,4,4,1,4,4,3,4,1,3,3,2,4,24,2.9,21,"F",4.25,2.66666666666667,2.875
"148",4,1,2,1,1,1,3,3,4,2,4,3,4,2,3,2,5,4,2,4,2,4,4,1,4,2,4,3,2,2,4,4,4,1,3,4,4,5,5,5,4,3,5,2,3,5,2,3,2,4,2,2,1,3,4,1,20,2.4,20,"F",3.58333333333333,3,2.875
"149",4,3,4,5,4,5,3,1,5,3,4,4,4,2,3,2,4,3,2,4,2,4,2,1,4,2,2,4,4,4,1,4,4,2,1,4,5,5,5,5,3,3,4,3,5,4,2,4,4,3,4,2,3,3,2,4,21,3.1,28,"M",4,2.66666666666667,2.375
"150",3,2,2,1,1,1,4,1,4,4,3,3,4,2,4,1,4,4,2,4,4,2,3,1,3,4,3,4,2,1,5,5,3,3,2,4,1,3,3,4,4,4,4,4,4,3,1,2,3,2,4,1,1,1,1,3,20,1.9,12,"F",3.33333333333333,2.16666666666667,3.875
"151",3,4,3,2,1,1,4,3,4,1,2,2,4,3,4,2,4,2,2,5,4,3,2,1,4,2,3,2,1,2,1,5,4,1,3,4,4,3,1,4,4,3,4,2,5,2,2,3,1,2,1,2,1,5,1,2,20,2,21,"F",3.5,2.66666666666667,2.125
"152",3,2,2,2,1,2,5,1,4,4,2,2,4,1,4,1,3,4,3,4,2,3,3,1,4,4,4,2,2,2,5,3,4,3,2,3,4,4,4,4,4,4,3,3,4,4,3,4,4,5,4,2,4,3,4,5,18,3.8,28,"F",3.16666666666667,2.25,4
"153",3,2,2,3,1,2,4,3,4,4,2,2,4,2,4,2,4,3,2,4,3,2,3,2,4,2,4,3,4,2,5,4,3,1,3,4,4,4,2,5,5,5,5,3,4,2,3,4,4,5,3,1,4,2,4,4,21,3.4,31,"F",3.58333333333333,2.66666666666667,3.25
"154",4,1,1,1,1,1,3,4,4,2,4,4,3,2,3,4,4,2,3,4,2,4,2,2,3,3,1,3,3,4,5,5,3,1,2,4,4,5,3,4,4,3,5,3,4,5,1,4,4,5,4,4,2,4,5,4,19,3.7,18,"F",3.41666666666667,3.33333333333333,2.625
"155",4,1,2,1,1,1,4,5,5,3,4,3,5,3,3,4,5,3,1,5,3,1,4,5,4,2,2,5,4,3,2,5,5,1,5,5,2,4,4,5,3,5,5,4,4,5,3,4,4,3,4,1,2,2,3,3,21,2.9,25,"F",4.25,3.5,2.75
"156",2,3,3,1,1,2,4,2,5,4,3,2,3,2,4,1,4,4,3,3,4,3,4,1,4,3,2,2,4,4,5,5,2,4,3,2,4,4,2,4,3,4,4,2,2,4,2,4,2,4,2,1,2,1,1,4,20,2.3,19,"F",3.25,2.75,4
"157",2,1,2,1,1,1,3,2,4,3,4,5,4,1,4,1,4,3,2,5,4,1,2,1,4,2,2,4,4,2,4,2,5,3,2,5,5,4,4,4,3,5,5,4,5,5,4,4,5,4,4,3,4,4,4,5,21,4.1,21,"M",4.41666666666667,2,3
"158",4,3,2,2,1,1,4,3,4,4,3,3,4,2,2,2,3,2,2,4,3,3,4,1,3,2,2,3,3,4,5,4,3,4,3,3,3,5,3,4,4,3,4,4,3,4,2,4,3,3,3,1,2,2,3,4,20,2.7,16,"F",3.25,2.83333333333333,3.375
"159",2,1,2,3,1,1,4,5,5,4,3,4,5,5,4,1,4,2,2,4,2,5,3,5,4,4,2,2,4,5,5,1,4,5,3,4,5,5,5,5,4,5,5,3,4,4,1,5,5,4,5,1,3,2,4,5,21,3.5,7,"F",3.91666666666667,3.5,3.875
"160",4,2,3,1,2,2,4,3,4,2,1,4,4,2,3,1,4,4,2,4,4,2,4,1,3,1,4,3,4,3,5,5,4,3,2,3,2,4,5,5,4,4,5,4,4,2,4,5,3,2,4,2,3,4,2,5,20,3.4,21,"F",3.58333333333333,2.5,3.25
"161",3,2,3,1,1,1,4,5,5,4,3,3,5,2,4,1,5,2,2,5,5,3,4,4,5,2,2,4,3,4,5,4,4,2,3,5,5,5,3,5,4,4,4,4,5,3,2,5,4,4,4,1,3,2,2,5,18,3.2,17,"F",4.5,3.16666666666667,3.375
"162",2,3,2,2,1,2,4,1,5,3,2,3,2,4,3,3,4,5,4,4,3,3,5,1,3,5,4,3,4,4,5,5,3,3,1,4,5,5,5,4,3,5,5,3,4,5,3,4,4,3,2,4,2,5,3,3,22,3.3,22,"M",3.58333333333333,3.08333333333333,4.125
"163",4,1,2,1,1,1,4,2,5,4,4,3,4,3,4,2,4,4,3,4,3,4,3,1,2,3,3,3,4,3,4,3,4,2,3,4,4,4,4,3,3,4,5,3,4,3,2,4,3,4,2,3,3,5,3,4,22,3.3,18,"F",3.66666666666667,2.91666666666667,3.5
"164",3,2,2,3,1,1,2,3,3,2,3,2,2,4,3,3,2,1,3,3,4,5,2,2,3,1,1,1,2,5,4,5,1,1,2,5,3,2,2,5,3,5,3,2,3,4,2,3,4,5,3,3,3,5,4,3,24,3.5,25,"M",2.58333333333333,3.16666666666667,2
"165",2,1,1,1,1,1,2,2,4,4,3,3,5,2,4,1,4,4,3,5,4,2,3,2,4,4,1,4,4,2,5,4,4,3,3,4,5,5,4,5,4,3,5,3,5,4,2,4,4,4,4,2,3,3,2,4,19,3.2,24,"F",4.16666666666667,2.5,3.625
"166",3,1,2,1,1,1,4,3,4,4,4,3,3,4,4,3,4,2,4,4,2,4,3,3,3,2,4,2,3,5,5,5,4,3,3,3,4,4,5,4,4,5,5,3,3,5,3,3,4,4,3,1,3,2,4,4,20,3.1,23,"F",3.25,3.83333333333333,3.375
"167",2,4,4,5,5,4,2,2,4,1,2,3,4,1,2,2,3,3,2,5,2,2,3,4,4,2,4,3,2,2,4,5,4,1,4,5,4,4,2,5,3,3,4,3,3,4,1,4,2,4,3,1,2,2,1,4,21,2.4,0,"F",3.58333333333333,2.83333333333333,2.25
"168",5,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,5,2,2,4,4,2,1,4,4,2,4,4,4,2,2,5,4,1,1,5,4,4,2,2,5,2,2,4,2,4,2,2,2,4,4,2,20,2.8,23,"F",4.33333333333333,2.25,2.125
"169",3,1,3,3,1,1,5,3,5,5,5,3,5,2,4,4,3,4,4,5,2,2,4,1,3,5,5,5,4,2,5,5,3,5,5,5,4,3,3,5,4,5,5,1,4,2,1,1,2,3,3,1,2,1,1,2,17,1.7,26,"F",3.91666666666667,3.41666666666667,4.625
"170",4,3,4,2,2,4,5,5,3,3,4,3,4,5,3,2,2,3,2,2,3,5,3,1,2,1,4,4,2,4,1,4,1,1,4,4,2,5,5,4,4,5,5,3,3,5,1,3,3,1,3,1,2,1,1,3,19,1.9,12,"M",2.66666666666667,3.75,2.5
"171",4,1,2,1,1,1,4,2,5,2,2,1,4,2,2,1,4,1,2,5,3,2,2,1,4,2,1,4,2,1,1,4,3,2,1,4,4,2,1,5,4,3,3,4,5,2,2,4,4,5,4,2,3,2,2,4,23,3.2,0,"F",3.58333333333333,1.75,2
"172",2,2,2,1,1,1,4,2,5,2,2,3,3,4,3,3,2,3,2,3,3,4,3,2,3,2,2,2,3,4,4,5,3,2,2,3,4,4,4,3,3,3,4,2,4,4,4,4,3,5,3,3,1,4,4,4,20,3.5,32,"F",3.08333333333333,3,2.875
"173",3,1,2,1,1,1,3,2,5,2,3,3,5,3,2,1,5,2,2,5,4,3,4,1,2,2,2,4,2,4,3,4,3,4,2,3,4,4,1,1,3,3,1,4,2,3,1,3,2,4,2,1,2,2,4,3,20,2.4,22,"F",3.75,2.58333333333333,2.75
"174",4,2,2,2,1,1,4,2,5,4,3,4,5,4,4,1,5,2,3,4,4,3,3,2,4,1,1,3,3,4,5,4,4,4,2,3,5,4,2,5,3,4,4,3,5,5,2,3,5,4,5,4,3,4,4,4,25,3.8,0,"F",4.08333333333333,2.75,3.375
"175",3,1,1,2,1,1,3,1,4,4,4,3,5,3,4,2,5,4,2,5,5,4,4,3,2,3,4,5,5,4,5,5,5,5,4,5,1,4,4,4,3,4,2,2,4,4,2,2,4,3,2,1,3,1,1,2,20,2.1,20,"F",4.16666666666667,3.33333333333333,4
"176",4,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,4,2,5,2,5,1,4,3,2,4,5,4,4,1,2,5,5,5,2,4,3,3,5,2,4,4,1,4,4,4,4,1,1,4,2,4,20,2.9,21,"F",4.16666666666667,2.83333333333333,2.375
"177",3,2,1,1,1,1,5,1,4,3,5,3,3,2,4,1,4,3,3,3,3,3,3,1,5,3,4,1,3,3,5,5,3,5,3,2,5,5,3,4,3,5,5,3,4,3,1,4,1,3,1,1,1,1,2,4,19,1.9,23,"F",3.25,3,3.875
"178",4,1,1,1,1,1,5,2,5,5,4,4,5,2,5,2,5,2,3,5,4,2,2,1,4,2,2,3,3,4,4,5,3,2,2,4,4,5,4,4,4,2,5,3,4,4,2,4,2,1,2,1,2,1,1,4,19,2,20,"F",4.08333333333333,2.83333333333333,3.375
"179",4,1,3,3,2,2,2,4,4,2,2,2,2,2,3,1,4,1,4,4,4,4,2,2,2,2,2,1,2,4,1,5,2,1,3,4,4,5,2,4,2,4,5,3,4,5,4,4,4,5,4,4,4,5,4,4,22,4.2,28,"F",2.91666666666667,3.16666666666667,1.75
"180",4,3,2,2,2,1,3,5,4,2,3,3,4,1,4,2,4,4,2,4,3,4,2,2,5,2,3,4,4,3,5,2,3,2,2,4,4,4,2,4,4,3,3,3,4,4,2,4,5,5,5,1,5,5,5,4,35,4.1,31,"M",3.83333333333333,2.75,3
"181",3,1,2,2,1,2,4,2,5,4,2,2,4,2,2,4,4,1,2,4,4,4,4,5,4,1,4,2,2,4,4,5,2,1,2,1,4,5,2,4,5,4,5,4,5,5,2,5,5,4,4,2,4,2,4,5,18,3.7,18,"F",3.16666666666667,3.41666666666667,2.625
"182",3,2,2,1,1,1,4,2,5,4,4,4,4,2,3,2,4,2,2,4,2,3,3,2,4,1,4,3,2,4,2,3,3,2,3,2,4,5,5,5,4,5,5,2,3,4,4,4,4,4,4,2,3,4,4,3,19,3.6,30,"F",3.41666666666667,3,2.625
"183",4,1,2,1,1,1,5,2,5,4,2,4,5,4,4,3,5,4,2,4,5,3,3,1,2,3,2,3,4,3,2,5,2,2,1,5,5,4,3,5,4,4,5,3,4,4,2,3,1,3,1,1,1,1,2,3,21,1.8,19,"M",4.08333333333333,2.66666666666667,3.375
